"Category","BlackBerry handheld devices","BlackBerry PlayBook tablets"
"Q2/04",0.478,
"Q3/04",0.547,
"Q4/04",0.707,
"Q1/05",0.712,
"Q2/05",0.84,
"Q3/05",0.959,
"Q4/05",1.129,
"Q1/06",1.115,
"Q2/06",1.211,
"Q3/06",1.36,
"Q4/06",1.814,
"Q1/07",2.029,
"Q2/07",2.416,
"Q3/07",3.056,
"Q4/07",3.936,
"Q1/08",4.372,
"Q2/08",5.398,
"Q3/08",6.148,
"Q4/08",6.68,
"Q1/09",7.78,
"Q2/09",7.8,
"Q3/09",8.3,
"Q4/09",10.1,
"Q1/10",10.5,
"Q2/10",11.2,
"Q3/10",12.1,
"Q4/10",14.2,
"Q1/11",14.9,
"Q2/11",13.2,0.5
"Q3/11",10.6,0.2
"Q4/11",14.1,0.1
"Q1/12",11.1,0.5
"Q2/12",7.8,0.3
"Q3/12",7.4,0.1
"Q4/12",6.9,0.3
"Q1/13",6,0.4
"Q2/13",6.8,0.1
"Q3/13",3.7,
"Q4/13",1.9,
"Q1/14",1.3,
"Q2/14",1.6,
"Q3/14",2.1,
"Q4/14",2,
"Q1/15",1.3,
"Q2/15",1.1,
"Q3/15",0.8,
"Q4/15",0.7,
"Q1/16",0.6,
"Q2/16",0.5,
"Q3/16",0.4,
